miles_from,miles_to,w_13000_13499,w_13500_13999,w_14000_14499,w_14500_14999,w_15000_15499,w_15500_15999,w_16000_16499,w_16500_16999,w_17000_17499,w_17500_17999,w_18000_18499,w_18500_18999
1,20,8375,8583,8789,8995,9202,9409,9597,9783,9969,10156,10343,10529
21,40,8714,8933,9152,9369,9588,9806,10001,10197,10393,10590,10788,10985
41,60,9053,9283,9511,9741,9971,10203,10408,10614,10822,11029,11237,11444
61,80,9392,9635,9874,10113,10357,10598,10814,11029,11248,11464,11683,11900
81,100,9731,9984,10235,10488,10742,10992,11220,11447,11674,11903,12091,12319
101,120,10071,10336,10599,10821,11084,11349,11585,11822,12061,12299,12536,12771
121,140,10372,10647,10922,11195,11469,11743,11991,12237,12486,12734,12982,13228
141,160,10712,10996,11281,11568,11855,12140,12395,12656,12912,13170,13428,13687
161,180,11050,11347,11645,11939,12239,12534,12803,13070,13336,13606,13874,14141
181,200,11390,11696,12005,12310,12625,12933,13210,13488,13728,14007,14284,14562
201,220,11558,11874,12185,12498,12815,13128,13414,13696,13941,14226,14508,14793
221,240,11730,12049,12367,12685,13008,13326,13617,13905,14156,14446,14733,15024
241,260,11900,12225,12549,12872,13201,13525,13820,14114,14371,14666,14958,15255
261,280,12070,12401,12726,13058,13394,13725,14023,14323,14585,14887,15183,15486
281,300,12240,12574,12908,13247,13586,13923,14226,14531,14800,15108,15409,15716
301,320,12411,12749,13088,13431,13778,14120,14429,14739,15014,15328,15633,15946
321,340,12580,12923,13270,13617,13970,14319,14632,14948,15228,15549,15858,16176
341,360,12749,13098,13448,13803,14162,14518,14834,15156,15444,15770,16083,16405
361,380,12917,13274,13630,13993,14354,14716,15037,15366,15659,15986,16308,16634
381,400,13087,13447,13811,14179,14547,14914,15240,15575,15873,16208,16533,16865
401,420,13255,13623,13993,14363,14739,15113,15442,15784,16088,16426,16759,17094
421,440,13424,13798,14170,14550,14931,15309,15645,15989,16301,16646,16983,17323
441,460,13592,13971,14351,14736,15124,15509,15848,16199,16517,16865,17208,17552
461,480,13762,14148,14532,14924,15318,15706,16051,16407,16731,17084,17434,17781
481,500,13930,14320,14714,15110,15509,15904,16253,16617,16947,17303,17657,18012
501,520,14098,14494,14893,15296,15702,16103,16455,16826,17160,17521,17883,18241
521,540,14267,14671,15074,15482,15893,16301,16659,17035,17375,17741,18106,18471
541,560,14436,14844,15255,15670,16087,16501,16861,17243,17591,17960,18331,18701
561,580,14604,15019,15435,15856,16278,16699,17066,17453,17803,18178,18558,18928
581,600,14772,15194,15616,16043,16470,16897,17267,17660,18018,18396,18781,19157
601,620,14943,15368,15795,16229,16662,17096,17468,17869,18234,18618,19006,19386
621,640,15111,15544,15977,16415,16855,17292,17674,18076,18449,18836,19232,19617
641,660,15280,15719,16156,16602,17046,17490,17875,18284,18663,19053,19455,19846
661,680,15449,15892,16338,16788,17240,17687,18077,18491,18877,19273,19682,20075
681,700,15617,16067,16518,16974,17434,17884,18282,18698,19090,19493,19908,20304
701,720,15786,16241,16699,17160,17625,18081,18482,18903,19305,19711,20131,20533
721,740,15956,16418,16878,17348,17819,18279,18686,19113,19520,19931,20356,20764
741,760,16123,16590,17059,17533,18009,18474,18890,19318,19734,20148,20580,20993
761,780,16292,16764,17240,17720,18199,18670,19090,19527,19947,20370,20805,21222
781,800,16462,16940,17421,17906,18391,18867,19295,19734,20160,20587,21028,21453
801,820,16629,17115,17602,18093,18581,19065,19496,19941,20373,20807,21249,21681
821,840,16799,17288,17781,18281,18772,19262,19698,20147,20586,21025,21474,21910
841,860,16966,17464,17963,18467,18962,19458,19903,20355,20798,21244,21696,22140
861,880,17136,17638,18143,18651,19154,19654,20104,20563,21011,21463,21921,22368
881,900,17305,17814,18325,18836,19343,19850,20309,20770,21226,21683,22145,22598
901,920,17472,17988,18503,19022,19535,20049,20511,20976,21437,21901,22367,22827
921,940,17641,18162,18684,19206,19726,20246,20712,21185,21651,22119,22592,23058
941,960,17811,18336,18862,19388,19916,20441,20916,21390,21865,22340,22814,23287
961,980,17978,18513,19043,19575,20108,20638,21119,21600,22076,22558,23038,23514
981,1000,18146,18686,19222,19760,20299,20836,21322,21805,22290,22778,23262,23744
