miles_from,miles_to,w_19000_19499,w_19500_19999,w_20000_20499,w_20500_20999,w_21000_21499,w_21500_21999,w_22000_22499,w_22500_22999,w_23000_23499,w_23500_23999,each_addl_100lbs
1,20,10715,10902,11091,11279,11464,11650,11838,12026,12213,12399,37.05
21,40,11181,11377,11576,11773,11969,12166,12364,12560,12756,12953,40.00
41,60,11650,11859,12067,12276,12479,12687,12895,13103,13311,13517,41.55
61,80,12114,12333,12552,12768,12985,13204,13420,13635,13816,14031,43.00
81,100,12543,12770,13000,13227,13457,13679,13909,14138,14367,14591,45.95
101,120,13012,13249,13488,13725,13961,14199,14436,14676,14911,15149,47.40
121,140,13475,13722,13971,14219,14466,14715,14961,15211,15456,15704,48.90
141,160,13942,14200,14461,14719,14976,15195,15453,15709,15968,16228,51.80
161,180,14371,14637,14906,15175,15442,15708,15977,16246,16513,16780,53.30
181,200,14841,15118,15397,15675,15954,16231,16509,16790,17068,17346,56.30
201,220,15075,15362,15643,15925,16209,16492,16776,17060,17344,17627,57.30
221,240,15309,15601,15890,16177,16466,16756,17042,17333,17621,17909,58.35
241,260,15546,15841,16135,16428,16720,17016,17308,17605,17898,18191,59.35
261,280,15783,16083,16381,16681,16977,17278,17574,17876,18173,18472,60.30
281,300,16016,16323,16626,16932,17231,17538,17841,18146,18451,18751,61.30
301,320,16252,16565,16871,17182,17489,17799,18106,18419,18727,19033,62.35
321,340,16488,16804,17117,17434,17745,18059,18373,18689,19004,19315,63.30
341,360,16721,17043,17363,17683,18002,18321,18639,18960,19280,19596,64.30
361,380,16958,17284,17609,17932,18256,18581,18904,19231,19557,19877,65.30
381,400,17193,17522,17856,18183,18514,18842,19174,19501,19835,20159,66.35
401,420,17426,17763,18100,18434,18768,19102,19441,19773,20111,20439,67.35
421,440,17664,18004,18346,18683,19026,19362,19705,20041,20388,20720,68.35
441,460,17899,18242,18590,18934,19280,19621,19973,20313,20665,21003,69.35
461,480,18132,18481,18837,19182,19536,19883,20239,20585,20942,21282,70.40
481,500,18369,18722,19083,19432,19793,20144,20503,20855,21218,21564,71.40
501,520,18606,18961,19328,19683,20049,20403,20771,21126,21496,21845,72.40
521,540,18839,19200,19574,19933,20304,20665,21037,21396,21771,22128,73.45
541,560,19074,19442,19821,20184,20562,20924,21303,21667,22048,22406,74.45
561,580,19312,19681,20064,20435,20817,21186,21569,21939,22326,22687,75.40
581,600,19546,19919,20311,20682,21074,21447,21836,22209,22600,22970,76.40
601,620,19781,20160,20556,20933,21328,21706,22103,22481,22877,23249,77.40
621,640,20017,20399,20803,21185,21585,21966,22368,22751,23155,23531,78.40
641,660,20251,20638,21048,21433,21839,22225,22636,23020,23430,23813,79.40
661,680,20486,20879,21293,21684,22096,22487,22899,23291,23705,24095,80.40
681,700,20722,21119,21539,21933,22351,22748,23166,23565,23981,24375,81.40
701,720,20956,21358,21781,22183,22605,23007,23430,23834,24256,24656,82.35
721,740,21189,21600,22025,22433,22861,23269,23695,24105,24529,24939,83.35
741,760,21423,21837,22269,22683,23114,23528,23960,24375,24805,25219,84.35
761,780,21656,22076,22514,22935,23370,23789,24225,24646,25082,25501,85.30
781,800,21891,22317,22758,23186,23623,24050,24490,24918,25358,25782,86.30
801,820,22126,22556,23002,23434,23879,24309,24755,25187,25632,26063,87.30
821,840,22359,22797,23246,23684,24134,24570,25019,25459,25907,26343,88.30
841,860,22593,23037,23491,23934,24387,24830,25284,25729,26182,26626,89.30
861,880,22826,23276,23735,24185,24642,25092,25550,25999,26458,26906,90.30
881,900,23060,23514,23978,24435,24897,25352,25813,26271,26732,27187,91.30
901,920,23292,23755,24222,24686,25151,25614,26079,26542,27009,27469,92.30
921,940,23527,23995,24467,24936,25405,25873,26343,26812,27283,27748,93.30
941,960,23762,24234,24712,25184,25660,26132,26610,27084,27559,28029,94.30
961,980,23995,24476,24955,25433,25915,26394,26873,27355,27832,28310,95.25
981,1000,24229,24714,25200,25686,26168,26655,27138,27626,28110,28593,96.25
